operation,algorithm,key_gen_time,sign_time,verify_time,aggregate_time,aggregate_verify_time,encrypt_time,decrypt_time,total_time,memory_peak_mb,memory_avg_mb
verification_65536,BonehBoyen,0.0,0.0,5.5408477783203126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,BonehBoyen,0.0,0.0,0.0,1.7595291137695312e-05,0.0,0.0,0.0,0.0,185.359375,0.0
aggregation_50,BonehBoyen,0.0,0.0,0.0,2.32696533203125e-05,0.0,0.0,0.0,0.0,185.359375,0.0
aggregation_100,BonehBoyen,0.0,0.0,0.0,4.4918060302734376e-05,0.0,0.0,0.0,0.0,185.359375,0.0
aggregation_500,BonehBoyen,0.0,0.0,0.0,0.00023326873779296874,0.0,0.0,0.0,0.0,185.984375,0.0
key_generation,RSA,0.6390877723693847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.153125,0.0
signing_1024,RSA,0.0,0.0029165267944335936,0.0,0.0,0.0,0.0,0.0,0.0,63.984375,0.0
signing_4096,RSA,0.0,0.002695012092590332,0.0,0.0,0.0,0.0,0.0,0.0,64.1484375,0.0
signing_16384,RSA,0.0,0.002806544303894043,0.0,0.0,0.0,0.0,0.0,0.0,64.3171875,0.0
signing_65536,RSA,0.0,0.003143167495727539,0.0,0.0,0.0,0.0,0.0,0.0,64.9921875,0.0
verification_1024,RSA,0.0,0.0,0.000359344482421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,RSA,0.0,0.0,0.0003771066665649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,RSA,0.0,0.0,0.0004746198654174805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,RSA,0.0,0.0,0.0009588241577148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,RSA,0.0,0.0,0.0,4.673004150390625e-06,0.0,0.0,0.0,0.0,65.9625,0.0
aggregation_50,RSA,0.0,0.0,0.0,2.44140625e-05,0.0,0.0,0.0,0.0,66.265625,0.0
aggregation_100,RSA,0.0,0.0,0.0,6.494522094726562e-05,0.0,0.0,0.0,0.0,66.659375,0.0
aggregation_500,RSA,0.0,0.0,0.0,0.0014120101928710937,0.0,0.0,0.0,0.0,68.475,0.0
key_generation,EdDSA,0.002238559722900391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.565625,0.0
signing_1024,EdDSA,0.0,0.000171661376953125,0.0,0.0,0.0,0.0,0.0,0.0,85.875,0.0
signing_4096,EdDSA,0.0,0.00010149478912353515,0.0,0.0,0.0,0.0,0.0,0.0,85.875,0.0
signing_16384,EdDSA,0.0,0.000142669677734375,0.0,0.0,0.0,0.0,0.0,0.0,85.875,0.0
signing_65536,EdDSA,0.0,0.00020263195037841796,0.0,0.0,0.0,0.0,0.0,0.0,86.0859375,0.0
verification_1024,EdDSA,0.0,0.0,0.0002099752426147461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,EdDSA,0.0,0.0,0.00020611286163330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,EdDSA,0.0,0.0,0.0002178668975830078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,EdDSA,0.0,0.0,0.0002540111541748047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,EdDSA,0.0,0.0,0.0,1.5735626220703124e-06,0.0,0.0,0.0,0.0,86.484375,0.0
